method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Direct-output selector,880,component_dropout,0.0831622764,0.0238525391,0.970687245,0.94304445,1,0,0,0.917712756
Input,888,component_dropout,0.100773308,0.0573120117,0.943389401,0.892844916,1,0,0,0.876106195
Validation best,888,component_dropout,0.200808264,0.0573730469,0.94333253,0.89274304,1,1,0,0.876106195
Action-coordinate selector,888,component_dropout,0.200808264,0.0573730469,0.94333253,0.89274304,1,1,0,0.876106195
Direct-output selector,888,component_dropout,0.201134119,0.0579345703,0.942798655,0.89178737,1,1,0,0.872711667
Input,987,component_dropout,0.0752302169,0.00915527344,0.983168761,0.966894725,1,0,0,0.941422594
Validation best,987,component_dropout,0.225455477,0.00939941406,0.982727681,0.966041896,1,3,0,0.935856993
Action-coordinate selector,987,component_dropout,0.225455477,0.00939941406,0.982727681,0.966041896,1,3,0,0.935856993
Direct-output selector,987,component_dropout,0.226062021,0.0100585938,0.981540911,0.963754979,1,3,0,0.917654546
Input,1017,component_dropout,0.19630627,0.0684204102,0.710111197,0.550521251,1,0,0,0.697588126
Validation best,1017,component_dropout,0.19630627,0.0684204102,0.710111197,0.550521251,1,0,0,0.697588126
Action-coordinate selector,1017,component_dropout,0.19630627,0.0684204102,0.710111197,0.550521251,1,0,0,0.697588126
Direct-output selector,1017,component_dropout,0.196894525,0.0686767578,0.708768732,0.548909627,1,0,0,0.697588126
Input,1027,component_dropout,0.06769207,0.0009765625,0.997924773,0.995858141,1,0,0,0.984732824
Validation best,1027,component_dropout,0.06769207,0.0009765625,0.997924773,0.995858141,1,0,0,0.984732824
Action-coordinate selector,1027,component_dropout,0.06769207,0.0009765625,0.997924773,0.995858141,1,0,0,0.984732824
Direct-output selector,1027,component_dropout,0.0692538852,0.00246582031,0.994764864,0.989605541,1,0,0,0.978143502
Input,1038,component_dropout,0.205700654,0.08203125,0.693430657,0.530726257,1,0,0,0.644216691
Validation best,1038,component_dropout,0.205700654,0.08203125,0.693430657,0.530726257,1,0,0,0.644216691
Action-coordinate selector,1038,component_dropout,0.205700654,0.08203125,0.693430657,0.530726257,1,0,0,0.644216691
