grid,pair_id,k,d_h,abs_delta,ratio_to_3d
3x3,315,1,1,0,0.0
3x3,316,0,1,0,0.0
3x3,316,1,1,0,0.0
3x3,317,0,1,0,0.0
3x3,317,1,1,0,0.0
3x3,318,0,1,0,0.0
3x3,318,1,1,0,0.0
3x3,319,0,1,0,0.0
3x3,319,1,1,0,0.0
3x3,320,0,1,0,0.0
3x3,320,1,1,0,0.0
3x3,321,0,1,0,0.0
3x3,321,1,1,0,0.0
3x3,322,0,1,0,0.0
3x3,322,1,1,0,0.0
3x3,323,0,1,0,0.0
3x3,323,1,1,0,0.0
3x3,324,0,1,0,0.0
3x3,324,1,1,0,0.0
3x3,325,0,1,0,0.0
3x3,325,1,1,0,0.0
3x3,326,0,1,0,0.0
3x3,326,1,1,0,0.0
3x3,327,0,1,0,0.0
3x3,327,1,1,0,0.0
3x3,328,0,1,0,0.0
3x3,328,1,1,0,0.0
3x3,329,0,1,0,0.0
3x3,329,1,1,0,0.0
3x3,330,0,1,0,0.0
3x3,330,1,1,0,0.0
3x3,331,0,1,0,0.0
3x3,331,1,1,0,0.0
3x3,332,0,1,0,0.0
3x3,332,1,1,0,0.0
3x3,333,0,1,0,0.0
3x3,333,1,1,0,0.0
3x3,334,0,1,0,0.0
3x3,334,1,1,0,0.0
3x3,335,0,1,0,0.0
3x3,335,1,1,0,0.0
3x3,336,0,1,0,0.0
3x3,336,1,1,0,0.0
3x3,337,0,1,0,0.0
3x3,337,1,1,0,0.0
3x3,338,0,1,0,0.0
3x3,338,1,1,0,0.0
3x3,339,0,1,0,0.0
3x3,339,1,1,0,0.0
3x3,340,0,1,0,0.0
3x3,340,1,1,0,0.0
3x3,341,0,1,0,0.0
3x3,341,1,1,0,0.0
3x3,342,0,1,0,0.0
3x3,342,1,1,0,0.0
3x3,343,0,1,0,0.0
3x3,343,1,1,0,0.0
3x3,344,0,1,0,0.0
3x3,344,1,1,0,0.0
3x3,345,0,1,0,0.0
3x3,345,1,1,0,0.0
3x3,346,0,1,0,0.0
3x3,346,1,1,0,0.0
3x3,347,0,1,0,0.0
3x3,347,1,1,0,0.0
3x3,348,0,1,0,0.0
3x3,348,1,1,0,0.0
3x3,349,0,1,0,0.0
3x3,349,1,1,0,0.0
3x3,350,0,1,0,0.0
3x3,350,1,1,0,0.0
3x3,351,0,1,0,0.0
3x3,351,1,1,0,0.0
3x3,352,0,1,0,0.0
3x3,352,1,1,0,0.0
3x3,353,0,1,0,0.0
3x3,353,1,1,0,0.0
3x3,354,0,1,0,0.0
3x3,354,1,1,0,0.0
3x3,355,0,1,0,0.0
3x3,355,1,1,0,0.0
3x3,356,0,1,0,0.0
3x3,356,1,1,0,0.0
3x3,357,0,1,0,0.0
3x3,357,1,1,0,0.0
3x3,358,0,1,0,0.0
3x3,358,1,1,0,0.0
3x3,359,0,1,0,0.0
3x3,359,1,1,0,0.0
3x3,360,0,1,0,0.0
3x3,360,1,1,0,0.0
3x3,361,0,1,0,0.0
3x3,361,1,1,0,0.0
3x3,362,0,1,0,0.0
3x3,362,1,1,0,0.0
3x3,363,0,1,0,0.0
3x3,363,1,1,0,0.0
3x3,364,0,1,0,0.0
3x3,364,1,1,0,0.0
3x3,365,0,1,0,0.0
3x3,365,1,1,0,0.0
3x3,366,0,1,0,0.0
3x3,366,1,1,0,0.0
3x3,367,0,1,0,0.0
3x3,367,1,1,0,0.0
3x3,368,0,1,0,0.0
3x3,368,1,1,0,0.0
3x3,369,0,1,0,0.0
3x3,369,1,1,0,0.0
3x3,370,0,1,0,0.0
3x3,370,1,1,0,0.0
3x3,371,0,1,0,0.0
3x3,371,1,1,0,0.0
3x3,372,0,1,0,0.0
3x3,372,1,1,0,0.0
3x3,373,0,1,0,0.0
3x3,373,1,1,0,0.0
3x3,374,0,1,0,0.0
3x3,374,1,1,0,0.0
3x3,375,0,1,0,0.0
3x3,375,1,1,0,0.0
3x3,376,0,1,0,0.0
3x3,376,1,1,0,0.0
3x3,377,0,1,0,0.0
3x3,377,1,1,0,0.0
3x3,378,0,1,0,0.0
3x3,378,1,1,0,0.0
3x3,379,0,1,0,0.0
3x3,379,1,1,0,0.0
