dataset,method,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
fashion,O_square3,pepper10,0.4269455467027,0.13486096934400002,0.5702836167992,0.4559820134208,2.901,2.781,0.023
fashion,O_square3,salt04,0.28880778676746,0.05735076535929,0.7306860634260001,0.6697678466107,2.231,2.304,0.103
fashion,O_square3,salt10,0.28443529864057,0.05713392857508,0.7361724764001,0.6737033061672,2.206,2.289,0.135
fashion,O_square3,shift20,0.533256617557,0.21744260186437,0.3706107373307,0.2491475124899,3.772,2.376,0.018
fashion,O_square4,balanced04,0.3864493888998,0.12734566308252002,0.5526108035157999,0.45811022561430004,2.422,2.523,0.092
fashion,O_square4,balanced10,0.4945062074244,0.20262244850777,0.3763973869769,0.26823974915050003,2.868,2.402,0.064
fashion,O_square4,clean,0.29979286847867703,0.08002933668516,0.644783290428,0.58087301211,2.241,2.289,0.236
fashion,O_square4,pepper04,0.3871486803256,0.12823341817172,0.5472085997330001,0.4527843169019,2.426,2.503,0.1
fashion,O_square4,pepper10,0.496362394044,0.20466454073327,0.3690255087101,0.2625068026967,2.874,2.398,0.073
fashion,O_square4,salt04,0.32932450324584,0.09034056105397001,0.625950469534,0.5537953857779,2.282,2.362,0.146
fashion,O_square4,salt10,0.32603997337887003,0.0900994897228,0.627999249011,0.5554416316396,2.277,2.348,0.163
fashion,O_square4,shift20,0.597358340912,0.28376913283067,0.1273725672284,0.07443569479539999,2.781,2.386,0.088
fashion,Oracle (diagnostic),balanced04,0.07479553295197201,0.02595280620926,0.9356121198649999,0.8870213979489999,0.683,0.909,0.504
fashion,Oracle (diagnostic),balanced10,0.10944368739093,0.05234948982897,0.878287918143,0.796589574661,0.622,1.123,0.456
fashion,Oracle (diagnostic),clean,0.0,0.0,1.0,1.0,0.0,0.0,1.0
fashion,Oracle (diagnostic),pepper04,0.06292657770079299,0.020286989867190002,0.9537130914540001,0.916115732335,0.52,0.833,0.484
fashion,Oracle (diagnostic),pepper10,0.07457344514631799,0.02743494905164,0.9358447491959999,0.885458419147,0.509,0.983,0.492
fashion,Oracle (diagnostic),salt04,0.06560989688589901,0.0193711735511,0.949113229943,0.910466091474,0.774,0.86,0.542
fashion,Oracle (diagnostic),salt10,0.080008164327888,0.02956887768286,0.92048362903,0.865697249662,0.603,0.924,0.535
fashion,Oracle (diagnostic),shift20,0.17399237639270002,0.10298724481671,0.7813672165524,0.6666452080238999,0.528,1.621,0.382
fashion,Soft morphology,balanced04,0.21437864056426,0.06847959171111001,0.8162332041956,0.7288204648577999,1.787,2.349,0.241
fashion,Soft morphology,balanced10,0.231598893844,0.1012959182561,0.788378693311,0.6798253672996,1.725,2.336,0.233
fashion,Soft morphology,clean,0.21306407300186,0.0552920918563,0.8171834785213,0.7435892053201,1.869,2.351,0.24
fashion,Soft morphology,pepper04,0.21345025497092998,0.057802296035959995,0.8167266835110001,0.7399701858045,1.855,2.351,0.241
fashion,Soft morphology,pepper10,0.21730001308886,0.057307397927030004,0.8097189499915001,0.7344657214136,1.869,2.353,0.242
fashion,Soft morphology,salt04,0.21511472177143,0.06923214278351,0.8175958167281,0.7295141515732999,1.8,2.356,0.239
fashion,Soft morphology,salt10,0.233235650161,0.10648086721093,0.7872276476325,0.676040012848,1.708,2.336,0.239
fashion,Soft morphology,shift20,0.33929113101339997,0.2341033160796,0.6585845899132,0.52440152343572,1.933,2.326,0.143
fashion,Three openings,balanced04,0.25773594144867,0.056273469376268,0.8257333230117999,0.7409479089926,1.8522,2.8788,0.0636
fashion,Three openings,balanced10,0.32286861151888,0.07605943872215999,0.7800732101033,0.6743714047547,2.2072,5.1628,0.019
fashion,Three openings,clean,0.17861390414509798,0.031365306152123996,0.8650200501558001,0.8062722744435,1.731,1.872,0.273
fashion,Three openings,pepper04,0.2574618983413,0.056400765333434,0.8197252667322,0.7348199995298,1.8798,2.9928000000000003,0.0746
fashion,Three openings,pepper10,0.32761102449002,0.07779642855317,0.7667083163838,0.6618784417222,2.3194,4.9274,0.024399999999999998
fashion,Three openings,salt04,0.205105393638316,0.038291836829264,0.8565026350202001,0.7900206112663,1.7078,1.9424000000000001,0.1666
fashion,Three openings,salt10,0.1968454109077806,0.036445153166096,0.8641423510017999,0.7990574431265,1.6504,1.8342,0.1832
fashion,Three openings,shift20,0.427694015153,0.13390306110157998,0.6661807304722001,0.5219123729154,3.455,3.959,0.012
fashion,Training best,balanced04,0.147751294840275,0.02071811237101,0.9273725249210001,0.885058125258,1.636,2.143,0.268
fashion,Training best,balanced10,0.17081357023715,0.03958928581133,0.893339535472,0.824446775864,1.587,2.172,0.239
fashion,Training best,clean,0.1340889427883,0.0102015306621,0.950467940371,0.925175755014,1.664,2.134,0.273
fashion,Training best,pepper04,0.143425196264948,0.01628443888131,0.934879869084,0.899390960608,1.651,2.149,0.268
fashion,Training best,pepper10,0.15885186063743,0.02445918374748,0.9099075574,0.8605153305390001,1.686,2.161,0.254
fashion,Training best,salt04,0.14245135124226102,0.01768239806786,0.938754780644,0.901199259967,1.634,2.152,0.264
fashion,Training best,salt10,0.15518962309318,0.030054847043790002,0.918530739639,0.8630076662276,1.611,2.145,0.249
fashion,Training best,shift20,0.2646867982726,0.09633035703439999,0.7876361791936,0.6762981820685,1.706,2.168,0.112
fashion,Uniform sampled,balanced04,0.28225997609569997,0.0740541474754,0.7764598543035001,0.6970640463119,3.4875483841407,2.6310967662111002,0.1292903192371
fashion,Uniform sampled,balanced10,0.352670213429,0.1332867005969,0.6855338783882999,0.5815660153935001,4.802935483823999,3.1047741907299002,0.0944838681633
fashion,Uniform sampled,clean,0.191382758550797,0.04153538597618,0.833890950867,0.783539013625,1.6709032265637,2.0577419278481,0.2925161260143
fashion,Uniform sampled,pepper04,0.2600511055754,0.06076855727379,0.794645610388,0.726304235171,2.2011290277896,2.6134193506963004,0.1435483839363
fashion,Uniform sampled,pepper10,0.300031262293,0.08454423117073,0.738621254492,0.6588869404240001,2.3518064470634,3.0476128994426,0.1199999967519
fashion,Uniform sampled,salt04,0.25981231164949997,0.06288771509411,0.8001814096995999,0.7288915556217,3.430483867688,2.2002903127630002,0.151645158628
fashion,Uniform sampled,salt10,0.2937199380467,0.10025720042490001,0.7615085811658,0.6747967278074,4.539838707362,2.2285161239674998,0.1330322547257
fashion,Uniform sampled,shift20,0.453204652991,0.231743005817,0.55100299655109,0.43249194822198,5.0429354787700005,3.3343225827057,0.0698709656464
fashion,Validation best,balanced04,0.147751294840275,0.02071811237101,0.9273725249210001,0.885058125258,1.636,2.143,0.268
fashion,Validation best,balanced10,0.17081357023715,0.03958928581133,0.893339535472,0.824446775864,1.587,2.172,0.239
fashion,Validation best,clean,0.1340889427883,0.0102015306621,0.950467940371,0.925175755014,1.664,2.134,0.273
fashion,Validation best,pepper04,0.143425196264948,0.01628443888131,0.934879869084,0.899390960608,1.651,2.149,0.268
fashion,Validation best,pepper10,0.15885186063743,0.02445918374748,0.9099075574,0.8605153305390001,1.686,2.161,0.254
fashion,Validation best,salt04,0.14245135124226102,0.01768239806786,0.938754780644,0.901199259967,1.634,2.152,0.264
fashion,Validation best,salt10,0.15518962309318,0.030054847043790002,0.918530739639,0.8630076662276,1.611,2.145,0.249
fashion,Validation best,shift20,0.2646867982726,0.09633035703439999,0.7876361791936,0.6762981820685,1.706,2.168,0.112
fashion,area16,balanced04,0.172681375792165,0.025368622527,0.893452235198,0.848956815863,1.861,2.305,0.25
fashion,area16,balanced10,0.18965467528675,0.04305357149686,0.86444281918,0.7962936049920001,1.836,2.313,0.237
fashion,area16,clean,0.15899321383700002,0.01492984700763,0.9177145218849999,0.8883517798499999,1.864,2.29,0.258
fashion,area16,pepper04,0.168308310732148,0.021121173565429998,0.90043723405,0.861611487938,1.864,2.302,0.252
fashion,area16,pepper10,0.18602195287724002,0.029257653131449998,0.867770227647,0.8186989206140001,1.909,2.31,0.248
fashion,area16,salt04,0.167156518762551,0.02250892867587,0.906001406323,0.864881539831,1.869,2.307,0.252
fashion,area16,salt10,0.17564050265734,0.03392346946713,0.890624901745,0.8340903619619999,1.855,2.299,0.25
fashion,area16,shift20,0.2304620052727,0.08588520403087,0.7947569862486,0.6900327380428,1.753,2.342,0.213
fashion,area3,balanced04,0.123873431186159,0.01713010216436,0.9512467692290001,0.913083461248,1.141,1.648,0.247
fashion,area3,balanced10,0.26290434848938005,0.0487270408566,0.880407332461,0.801106622578,2.411,1.702,0.04
fashion,area3,clean,0.0894627978469,0.0046020408405399995,0.9812299109829999,0.967014923774,1.169,1.631,0.341
fashion,area3,pepper04,0.102344454023705,0.01106632663645,0.96650774605,0.940019644447,1.14,1.645,0.313
fashion,area3,pepper10,0.14090963614805,0.02106377564478,0.943763399548,0.900195559764,1.171,1.768,0.208
fashion,area3,salt04,0.118907015859261,0.01349744908947,0.961363960254,0.9302215890759999,1.19,1.656,0.256
fashion,area3,salt10,0.23442700435296998,0.0372627551937,0.90424931524,0.83873377788,2.456,1.681,0.057
fashion,area3,shift20,0.4417148638624,0.1405905608068,0.7291742431792,0.5999709219620001,7.458,2.934,0.001
fashion,area32,balanced04,0.195969154961675,0.03048086741735,0.851064336075,0.80900274734,2.007,2.353,0.244
fashion,area32,balanced10,0.21203517546685,0.047345663273760004,0.820491174967,0.758763678465,2.006,2.36,0.247
fashion,area32,clean,0.1868561347629,0.02059948982061,0.8669742198389999,0.8395701563369999,2.015,2.34,0.248
fashion,area32,pepper04,0.198399396696008,0.02727423468885,0.8447963399940001,0.809586947622,2.035,2.352,0.243
fashion,area32,pepper10,0.21458306627079,0.03540943885511,0.813521028164,0.7704290282649999,2.063,2.362,0.24
fashion,area32,salt04,0.189742911159361,0.02721938781614,0.862731833503,0.824666597604,2.006,2.342,0.248
fashion,area32,salt10,0.19466772844166,0.03790178578103,0.855649159677,0.801789940587,1.986,2.347,0.244
fashion,area32,shift20,0.2420150088318,0.08535331632097,0.767955215201,0.671079136466,1.981,2.371,0.231
fashion,area8,balanced04,0.147751294840275,0.02071811237101,0.9273725249210001,0.885058125258,1.636,2.143,0.268
fashion,area8,balanced10,0.17081357023715,0.03958928581133,0.893339535472,0.824446775864,1.587,2.172,0.239
fashion,area8,clean,0.1340889427883,0.0102015306621,0.950467940371,0.925175755014,1.664,2.134,0.273
fashion,area8,pepper04,0.143425196264948,0.01628443888131,0.934879869084,0.899390960608,1.651,2.149,0.268
fashion,area8,pepper10,0.15885186063743,0.02445918374748,0.9099075574,0.8605153305390001,1.686,2.161,0.254
fashion,area8,salt04,0.14245135124226102,0.01768239806786,0.938754780644,0.901199259967,1.634,2.152,0.264
fashion,area8,salt10,0.15518962309318,0.030054847043790002,0.918530739639,0.8630076662276,1.611,2.145,0.249
fashion,area8,shift20,0.2646867982726,0.09633035703439999,0.7876361791936,0.6762981820685,1.706,2.168,0.112
fashion,gaussian06,balanced04,0.168950623347042,0.0175408164392,0.950354535672,0.911419232119,1.349,1.349,0.114
fashion,gaussian06,balanced10,0.3415315610788,0.05223852047870001,0.8741942621966,0.7910242190845,4.708,2.463,0.005
fashion,gaussian06,clean,0.066045134735163,0.00343239798308,0.985634686325,0.973930196108,0.857,1.163,0.39
